STAND No.,COORDINATES,STAND No.,"COORDINATES
STAND No.","STAND No.
COORDINATES
COORDINATES"
"A25N, A25S
A31 thru A33
A34
A41
A42 thru A45","N52 18.3 E004 44.6
N52 18.0 E004 45.2
N52 18.0 E004 45.1
N52 18.0 E004 45.3
N52 18.0 E004 45.2","D43
D44
D4
D48
D49 thru D51","N52 18.6 E004 46.2
N52 18.5 E004 46.3
N52 18.6 E004 46.2
N52 18.5 E004 46.3
N52 18.6 E004 46.3
K11 thru K15
K16
K20, K21
K22 thru K28
K35","S87
S90, S92
S94
S96
U10, U11
N52 17.8 E004 45.9
N52 17.8 E004 46.0
N52 17.8 E004 46.1
N52 17.9 E004 46.1
N52 19.2 E004 44.7
N52 18.7 E004 48.2
N52 18.7 E004 48.3
N52 18.6 E004 48.2
N52 18.7 E004 48.3
N52 18.6 E004 48.3"
"A51 thru A53
A54
A55
A62 thru A64","N52 18.0 E004 45.3
N52 18.1 E004 45.3
N52 18.1 E004 45.2
N52 18.0 E004 45.4
N52 18.1 E004 45.4","D52
D53
D54
D55
D56","N52 18.5 E004 46.3
N52 18.6 E004 46.3
N52 18.5 E004 46.4
N52 18.6 E004 46.4
N52 18.5 E004 46.4
K36, K37
K58
K40 thru K43
K44
KZÄ°","U12 thru U17
U18
U21
U22
U23 thru U27
N52 19.3 E004 44.7
N52 19.4 E004 44.7
N52 19.5 E004 44.8
N52 19.4 E004 44.7
N52 19.5 E004 44.7
N52 18.7 E004 48.3
N52 18.7 E004 48.4
N52 18.7 E004 48.5
N52 18.8 E004 48.4
N52 18.6 E004 48.4"
"A65
A71
A72 thru A75
A81 thru A85
B15, B16","N52 18.1 E004 45.3
N52 18.0 E004 45.4
N52 18.1 E004 45.4
N52 18.1 E004 45.5
N52 18.3 E004 45.7","D57
D88
D90, D92
D93 thru D95
E2","N52 18.6 E004 46.4
N52 18.7 E004 46.2
N52 18.7 E004 46.3
N52 18.7 E004 46.4
N52 18.6 E004 45.9
K72
K73 thru K78
M61 thru M65
M53 thru M57
M59","1128
U29, U30
U31, U32
U33
U60 thru U62
N52 19.5 E004 44.8
N52 19.6 E004 44.8
N52 19.6 E004 44.7
N52 19.7 E004 44.7
N52 19.3 E004 44.9
N52 18.6 E004 48.5
N52 18.7 E004 48.5
N52 18.0 E004 47.3
N52 17.9 E004 47.2
N52 17.9 E004 47.3"
"B17
B20
B23
B24
B27","N52 18.3 E004 45.8
N52 18.2 E004 45.7
N52 18.3 E004 45.8
N52 18.2 E004 45.7
N52 18.2 E004 45.8","E3
ES
E6, E7
E8","N52 18.7 E004 45.9
N52 18.6 E004 46.0
N52 18.7 E004 45.9
N52 18.7 E004 46.0
N52 18.7 E004 46.1
M66
M67 thru M74
M75
M77 thru M79
M81","U63, U64
Y71
Y72
Y73
Y74
N52 19.4 E004 44.9
N52 18.4 E004 44.6
N52 18.3 E004 44.6
N52 18.4 E004 44.6
N52 18.3 E004 44.6
N52 18.1 E004 47.3
N52 18.1 E004 47.4
N52 18.1 E004 47.5
N52 18.2 E004 47.5
N52 18.3 E004 47.6"
"B28
B31, B32
B35
B36
B91, B92","N52 18.2 E004 45.7
N52 18.2 E004 45.8
N52 18.2 E004 45.9
N52 18.2 E004 45.8
N52 18.1 E004 45.7","E9, E17
E18
E19, E20
E22
E24","N52 18.8 E004 46.0
N52 18.7 E004 46.1
N52 18.8 E004 46.1
N52 18.8 E004 46.2
N52 18.9 E004 46.2
M83 thru M89
M91, M92
M93
P1, PA, PB
P2","N52 18.3 E004 47.7
N52 18.3 E004 47.8
N52 18.4 E004 47.8
N52 18.8 E004 46.5
N52 18.9 E004 46.5"
"B93 thru B95
C5
C7
c8
C6","N52 18.2 E004 45.6
N52 18.4 E004 45.9
N52 18.3 E004 45.9
N52 18.4 E004 46.0
N52 18.3 E004 45.9","E72
E75, E77
F","PE
N52 18.7 E004 46.3
N52 18.7 E004 45.4
N52 18.7 E004 45.7
N52 18.7 E004 45.8
N52 18.8 E004 45.7
P3, PC, PD
P4
P6 thru P6B
P7 thru P7B","N52 18.9 E004 46.4
N52 18.1 E004 44.1
N52 18.2 E004 44.1
N52 19.7 E004 43.1
N52 19.8 E004 43.0"
"C9
C10
Cii
C12
C13","N52 18.3 E004 46.0
N52 18.3 E004 45.9
N52 18.3 E004 46.1
N52 18.3 E004 46.0
N52 18.3 E004 46.1","F8
G2
F6
F7
F9","N52 18.8 E004 45.8
N52 18.8 E004 45.6
N52 18.8 E004 45.8
N52 18.8 E004 45.7
N52 18.7 E004 45.5
P10
P11 thru P14
P15, P16
P20, P21
R71 thru R73","N52 18.8 E004.44.6
N52 18.7 E004 44.6
N52 18.6 E004 44.6
N52 17.8 E004 45.0
N52 17.7 E004 44.5"
"C14
C15
C16, C18
D2 thru D5
D7, D10","N52 18.3 E004 46.0
N52 18.3 E004 46.1
N52 18.3 E004 46.0
N52 18.5 E004 46.0
N52 18.5 E004 46.1","G3
G4
G5
G6
G7","N52 18.7 E004 45.4
N52 18.7 E004 45.5
N52 18.7 E004 45.4
N52 18.8 E004 45.5
N52 18.8 E004 45.4
R74, R77
R80
R81, R82
S61","N52 17.7 E004 44.6
N52 17.8 E004 44.7
N52 17.8 E004 44.8
N52 17.4 E004 44.8
N52 17.4 E004 44.9"
"D12 thru D16
D18, D22
D23
D24
D25","N52 18.4 E004 46.2
N52 18.4 E004 46.3
N52 18.5 E004 46.3
N52 18.4 E004 46.3
N52 18.5 E004 46.3","G8
G9
G71, G73
G76, G79
H1 thru H3","N52 18.8 E004 45.5
N52 18.8 E004 45.4
N52 18.7 E004 45.2
N52 18.8 E004 45.2
N52 18.6 E004 45.3
S63, S64
S65
S66, S67
S68
569","N52 17.4 E004 45.0
N52 17.5 E004 45.1
N52 17.5 E004 45.2
N52 17.5 E004 45.3
N52 17.6 E004 45.4"
"D26
D27
D28
D29, D31
D41","N52 18.4 E004 46.4
N52 18.5 E004 46.3
N52 18.4 E004 46.4
N52 18.5 E004 46.4
N52 18.6 E004 46.1","H4 thru H7
J80 thru J82
J83, J84
J85
J86, J87","N52 18.6 E004 45.2
N52 18.8 E004 44.9
N52 18.7 E004 44.9
N52 18.7 E004 44.8
N52 18.6 E004 44.8
S72
S74
S82
S84
S77, S79","N52 17.6 E004 45.6
N52 17.7 E004 45.6
N52 17.7 E004 45.7
N52 17.7 E004 45.8
N52 17.7 E004 45.9"